timestamp,distance_cm,alert
2026-01-01 08:00:00,28.81,SAFE
2026-01-01 08:00:10,30.55,SAFE
2026-01-01 08:00:20,31.12,SAFE
2026-01-01 08:00:30,33.71,SAFE
2026-01-01 08:00:40,35.49,SAFE
2026-01-01 08:00:50,38.32,SAFE
2026-01-01 08:01:00,39.23,SAFE
2026-01-01 08:01:10,39.34,SAFE
2026-01-01 08:01:20,38.76,SAFE
2026-01-01 08:01:30,41.79,SAFE
2026-01-01 08:01:40,39.79,SAFE
2026-01-01 08:01:50,39.36,SAFE
2026-01-01 08:02:00,39.68,SAFE
2026-01-01 08:02:10,36.16,SAFE
2026-01-01 08:02:20,36.82,SAFE
2026-01-01 08:02:30,36.08,SAFE
2026-01-01 08:02:40,31.59,SAFE
2026-01-01 08:02:50,30.41,SAFE
2026-01-01 08:03:00,28.18,SAFE
2026-01-01 08:03:10,25.89,SAFE
2026-01-01 08:03:20,24.46,SAFE
2026-01-01 08:03:30,24.95,SAFE
2026-01-01 08:03:40,23.8,SAFE
2026-01-01 08:03:50,19.34,SAFE
2026-01-01 08:04:00,19.2,SAFE
2026-01-01 08:04:10,18.54,SAFE
2026-01-01 08:04:20,17.9,SAFE
2026-01-01 08:04:30,16.43,SAFE
2026-01-01 08:04:40,17.42,SAFE
2026-01-01 08:04:50,16.59,SAFE
2026-01-01 08:05:00,15.54,SAFE
2026-01-01 08:05:10,16.78,SAFE
2026-01-01 08:05:20,20.05,SAFE
2026-01-01 08:05:30,20.4,SAFE
2026-01-01 08:05:40,22.03,SAFE
2026-01-01 08:05:50,22.63,SAFE
2026-01-01 08:06:00,24.06,SAFE
2026-01-01 08:06:10,24.77,SAFE
2026-01-01 08:06:20,28.6,SAFE
2026-01-01 08:06:30,29.04,SAFE
2026-01-01 08:06:40,33.72,SAFE
2026-01-01 08:06:50,33.85,SAFE
2026-01-01 08:07:00,35.85,SAFE
2026-01-01 08:07:10,38.21,SAFE
2026-01-01 08:07:20,38.18,SAFE
2026-01-01 08:07:30,40.07,SAFE
2026-01-01 08:07:40,39.25,SAFE
2026-01-01 08:07:50,41.45,SAFE
2026-01-01 08:08:00,40.21,SAFE
2026-01-01 08:08:10,39.74,SAFE
2026-01-01 08:08:20,39.48,SAFE
2026-01-01 08:08:30,38.39,SAFE
2026-01-01 08:08:40,38.11,SAFE
2026-01-01 08:08:50,34.32,SAFE
2026-01-01 08:09:00,31.72,SAFE
2026-01-01 08:09:10,32.91,SAFE
2026-01-01 08:09:20,27.26,SAFE
2026-01-01 08:09:30,27.22,SAFE
2026-01-01 08:09:40,25.09,SAFE
2026-01-01 08:09:50,24.09,SAFE
